image1,image2,similarity
glasses_11,glasses_8,461.677376530408
glasses_11,glasses_9,568.93760642095
glasses_11,glasses_10,512.0
glasses_12,glasses_1,469.617929811033
glasses_12,glasses_2,498.121471129282
glasses_12,glasses_3,254.385534179914
glasses_12,glasses_4,536.482059345883
glasses_12,glasses_5,338.415425180354
glasses_12,glasses_6,514.190626130037
glasses_12,glasses_7,191.094217599591
glasses_12,glasses_8,205.548047910945
glasses_12,glasses_9,279.145123546875
glasses_12,glasses_10,320.41223447303
glasses_12,glasses_11,317.200252206709
glasses_13,glasses_1,259.378102391085
glasses_13,glasses_2,285.028068793233
glasses_13,glasses_3,495.993951576025
glasses_13,glasses_4,784.464785697867
glasses_13,glasses_5,677.047265706021
glasses_13,glasses_6,661.823239241416
glasses_13,glasses_7,218.277346511268
glasses_13,glasses_8,614.325646542613
glasses_13,glasses_9,499.799959983992
glasses_13,glasses_10,334.619186538967
glasses_13,glasses_11,339.178419124802
glasses_13,glasses_12,409.030561205395
glasses_14,glasses_1,794.88930046894
glasses_14,glasses_2,310.48510431259
glasses_14,glasses_3,794.631990294879
glasses_14,glasses_4,392.368449292244
glasses_14,glasses_5,482.511139767778
glasses_14,glasses_6,204.0
glasses_14,glasses_7,520.000961537572
glasses_14,glasses_8,660.201484396998
glasses_14,glasses_9,307.938305509399
glasses_14,glasses_10,256.0
glasses_14,glasses_11,768.0
glasses_14,glasses_12,547.992700681314
glasses_14,glasses_13,554.113706742578
glasses_15,glasses_1,614.0
glasses_15,glasses_2,827.835732497698
glasses_15,glasses_3,205.0
glasses_15,glasses_4,751.192385477915
glasses_15,glasses_5,512.0
glasses_15,glasses_6,794.88930046894
glasses_15,glasses_7,479.170115929614
glasses_15,glasses_8,239.409690697766
glasses_15,glasses_9,572.877822925622
glasses_15,glasses_10,655.305272373113
glasses_15,glasses_11,409.0
glasses_15,glasses_12,335.37590849672
glasses_15,glasses_13,679.31215210682
glasses_15,glasses_14,870.11780811566
glasses_16,glasses_1,770.000649350376
glasses_16,glasses_2,226.267540756512
glasses_16,glasses_3,871.414941345396
glasses_16,glasses_4,596.302775442141
glasses_16,glasses_5,665.081198050283
glasses_16,glasses_6,408.004901931337
glasses_16,glasses_7,560.083029559011
glasses_16,glasses_8,800.476108325539
glasses_16,glasses_9,467.523261453374
glasses_16,glasses_10,328.907281767978
glasses_16,glasses_11,796.565126025487
glasses_16,glasses_12,649.224152354177
glasses_16,glasses_13,511.220109150648
glasses_16,glasses_14,204.009803685999
glasses_16,glasses_15,984.209835350166
glasses_2,glasses_1,639.513096034788
glasses_3,glasses_1,1001.47990494068
glasses_3,glasses_2,848.863357673071
glasses_4,glasses_1,372.323783822629
glasses_4,glasses_2,307.07979419037
glasses_4,glasses_3,752.372912856384
glasses_5,glasses_1,630.398286799703
glasses_5,glasses_2,305.628859893826
glasses_5,glasses_3,548.933511456533
glasses_5,glasses_4,271.5308453933
glasses_6,glasses_1,980.769595776704
glasses_6,glasses_2,587.802687982966
glasses_6,glasses_3,381.47739120425
glasses_6,glasses_4,635.107864854467
glasses_6,glasses_5,364.522975956249
glasses_7,glasses_1,453.045251602972
glasses_7,glasses_2,314.25626485402
glasses_7,glasses_3,650.824092977511
glasses_7,glasses_4,104.809350727881
glasses_7,glasses_5,177.459854615065
glasses_7,glasses_6,535.844193772779
glasses_8,glasses_1,86.3712915267567
glasses_8,glasses_2,560.161583830951
glasses_8,glasses_3,932.657493402589
glasses_8,glasses_4,286.204472361981
glasses_8,glasses_5,544.604443610222
glasses_8,glasses_6,897.008918573277
glasses_8,glasses_7,367.164813128927
glasses_9,glasses_1,893.90044188377
glasses_9,glasses_2,485.791107370236
glasses_9,glasses_3,432.296194755401
glasses_9,glasses_4,540.000925925132
glasses_9,glasses_5,268.477187112797
glasses_9,glasses_6,103.174609279609
glasses_9,glasses_7,443.788237789151
glasses_9,glasses_8,809.005562403622
glasses_10,glasses_1,984.20018288964
glasses_10,glasses_2,790.453667206371
glasses_10,glasses_3,72.4706837279738
glasses_10,glasses_4,714.2023522784
glasses_10,glasses_5,495.390754859232
glasses_10,glasses_6,309.045304122227
glasses_10,glasses_7,610.737259384099
glasses_10,glasses_8,911.751062516518
glasses_10,glasses_9,361.424957632978
glasses_11,glasses_1,44.6878059430087
glasses_11,glasses_2,597.703940090744
glasses_11,glasses_3,966.348280900835
glasses_11,glasses_4,327.670566270454
glasses_11,glasses_5,586.1646526361
glasses_11,glasses_6,937.721707117842
glasses_11,glasses_7,408.750535167845
glasses_11,glasses_8,41.7252920900501
glasses_11,glasses_9,850.207621701899
glasses_11,glasses_10,947.17316262656
glasses_12,glasses_1,686.542788178567
glasses_12,glasses_2,325.124591503011
glasses_12,glasses_3,523.779533773514
glasses_12,glasses_4,326.955654485436
glasses_12,glasses_5,56.2227711874824
glasses_12,glasses_6,311.168764499267
glasses_12,glasses_7,233.668568703623
glasses_12,glasses_8,600.790312838015
glasses_12,glasses_9,213.337760370732
glasses_12,glasses_10,465.769256177348
glasses_12,glasses_11,642.336360484131
glasses_13,glasses_1,232.658548091404
glasses_13,glasses_2,428.267439808352
